feature,importance
Avg_Cell_Voltage,0.8260971113562146
Pack_Current,0.13842352941241562
Power_kW,0.00885926305222838
Charging_State_Encoded,0.007926414678640447
Pressure_Level,0.001533387989909216
Min_Cell_Voltage,0.0014993907558536258
Voltage_Imbalance,0.0014940369163221998
Max_Cell_Voltage,0.001372850851318235
Coolant_Flow_Rate,0.001291755522410808
Temperature_Gradient,0.00127957253485713
Cycle_Count,0.0012426332207099075
Humidity_Percent,0.0012374273890001473
Air_Pressure_kPa,0.0011189925403229817
Internal_Resistance,0.0010843319937321192
Max_Temperature,0.0008848265989498524
Avg_Temperature,0.0008823841901411748
Battery_Age_Months,0.000674862010596373
Min_Temperature,0.0006430308732153252
Day_of_Week,0.0005318647668966129
Month,0.0005219690140648996
Hour,0.0004946080563534036
Location_City_Encoded,0.00047951638923807676
Vehicle_Model_Encoded,0.000426239886609093
